Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10,Campo_11
Documento,generado,el,25,de,Julio,del,2025,a,las,02:00:08
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,,,
84001,77.492.801-4,MULTY,SERVICIO,MC,SPA,2025-07-24,,,,
84002,77.960.967-7,VIALE,SPA,2025-07-24,,,,,,
84003,77.493.248-8,2025-07-24,,,,,,,,
RAMÍREZ,MUÑOZ,E.I.R.L.,,,,,,,,
84004,78.008.533-9,SOCIEDAD,LAPP,SPA,2025-07-24,,,,,
84005,77.968.589-6,KINESIOTECH,SPA,2025-07-24,,,,,,
SERVICIOS,MEDICOS,MO-,,,,,,,,
84006,77.493.982-2,2025-07-24,,,,,,,,
8,EM,SPA,,,,,,,,
84007,77.919.956-8,2025-07-24,,,,,,,,
VKH,SECURITY,AND,,,,,,,,
84008,77.494.009-K,2025-07-24,,,,,,,,
COMPAÑÍA,COMERCIAL,Y,,,,,,,,
84009,77.920.316-6,DE,INVERSIONES,PURA,2025-07-24,,,,,
84010,78.018.718-2,AGENCIA,MAUN,SPA,2025-07-24,,,,,
