Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10,Campo_11
Documento,generado,el,25,de,Julio,del,2025,a,las,02:00:08
ID,RUT,Proveedor,Razón,Social,,,,,,
COMERCIALIZADORA,CAMILO,VILLASECA,LORCA,,,,,,,
71001,77.415.267-9,2025-07-24,,,,,,,,
71002,77.330.051-8,COMERCIALIZADORA,OSO,DE,PAPEL,SPA,2025-07-24,,,
SERVICIOS,Y,PRODUCTOS,CULTURALES,,,,,,,
71003,77.918.495-1,2025-07-24,,,,,,,,
71004,77.433.403-3,SELFING,INGENIERÍA,INTEGRAL,SPA,2025-07-24,,,,
71005,76.335.133-5,ETM,ASESORIAS,E,INSPECCION,LIMITADA,2025-07-24,,,
SOCIEDAD,DE,INVERSIONES,Y,GESTION,TUCAPEL,,,,,
71006,76.896.558-7,2025-07-24,,,,,,,,
"INGENIERÍA,","TOPOGRAFIA,","CONSTRUCCIÓN,",,,,,,,,
71007,77.330.766-0,2025-07-24,,,,,,,,
SERVICIOS,Y,ARRIENDO,DE,EQUIPOS,SPA,,,,,
71008,77.625.103-8,WYSS,Y,TOLEDO,LIMITADA,2025-07-24,,,,
GRAPHIC,LA,TIRANA,SERVICIOS,GRAFICOS,,,,,,
71009,77.918.714-4,2025-07-24,,,,,,,,
EVENTOS,Y,BANQUETERÍA,ANDREA,ECHEVERRÍA,,,,,,
71010,77.321.618-5,2025-07-24,,,,,,,,
ANA,VIÑA,RIVAS,SERVICIOS,MEDICOS,Y,,,,,
71011,77.415.281-4,DIAGNOSTICOS,POR,IMAGENES,RADIOLOGICAS,E.,2025-07-24,,,
