Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
ASCENSO,GEAR,SPA,2025-07-24,,,,,
75417,COMERCIAL,KLIMA,SPA,2025-07-24,,,,
75418,DISTRIBUIDORA,PROLIGNA,LTDA,2025-07-24,,,,
75419,SOCIEDAD,COMERCIAL,YACARÉ,PRO,SPA,2025-07-24,,
75420,MORONI,METALES,SPA,2025-07-24,,,,
75421,COMERCIAL,ALAHUE,SPA,2025-07-24,,,,
75422,DISEÑO,Y,PUBLICIDAD,JOSE,OCHOA,SPA,2025-07-24,
75423,MKTLAB,SPA,2025-07-24,,,,,
75424,BIOXMEDICAL,CHILE,LIMITADA,2025-07-24,,,,
75425,SERVICIOS,Y,COMERCIO,OMT,SPA,2025-07-24,,
77.052.544-,SENDERISMO,Y,TREKKING,ACONCAGUA,JUAN,LAZO,ARAYA,E.I.
75427,SUMINISTROS,ESTEBAN,RIOSECO,NORAMBUENA,E.I.R.L.,2025-07-24,,
