Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6
106325,TRANSPORTES,MAAS,,,
106326,78.099.141-0,2025-07-24,,,
106327,78.099.933-0,ALTA,OM,SPA,2025-07-24
106328,78.100.228-3,E-LARA,SPA,2025-07-24,
106329,78.100.516-9,CONSULTORIA,2025-07-24,,
106330,78.101.173-8,DACAM,SPA,2025-07-24,
106331,78.101.198-3,2025-07-24,,,
106332,78.101.311-0,NUCLEO,CREATIVO,SPA,2025-07-24
106333,78.102.549-6,2025-07-24,,,
ASEO,Y,LIMPIEZA,,,
106334,78.103.385-5,AUSTRAL,DIEGO,RIVERA,2025-07-24
106335,78.103.645-5,2025-07-24,,,
PIES,DE,ANGEL,SPA,,
