Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6
66589,FERRETERÍA,ELÉCTRICA,,,
HERMANOS,PINEDA,SPA,,,
66590,77.406.621-7,KUMELEN,SPA,2025-07-24,
66591,9.843.642-1,Agencia,DeColor,2025-07-24,
66592,77.205.685-0,BIOCRON,SPA,2025-07-24,
66593,77.232.798-6,ARTESANALES,VERDE,2025-07-24,
66594,9.849.818-4,2025-07-24,,,
INMOBILIARIA,B,&amp;,V,,
66595,77.135.157-3,2025-07-24,,,
66596,76.452.973-1,KRESTON,MCA,SPA,2025-07-24
66597,76.147.106-6,2025-07-24,,,
66598,77.740.755-4,ALFA,SEA,SPA,2025-07-24
66599,77.408.782-6,ALOPATAGONIA,SPA,2025-07-24,
