Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,
85873,IMEX,PROYECTOS,,,,,
85874,78.042.872-4,GRUPO,H,&,R,SPA,2025-07-24
NBR,COMPAÑÍA,DE,,,,,
85875,78.097.274-2,ABASTECIMIENTO,Y,2025-07-24,,,
85876,77.993.140-4,2025-07-24,,,,,
85877,78.021.293-4,NUEVA,MUNDIAL,2025-07-24,,,
85878,77.993.276-1,GENESIS,GLOBAL,SPA,2025-07-24,,
PRH,Y,ASOCIADOS,,,,,
85879,77.588.674-9,INGENIERIA,Y,2025-07-24,,,
85880,78.103.345-6,WORKWEAR,SPA,2025-07-24,,,
JCP,CONSTRUCCIONES,Y,,,,,
85881,78.097.754-K,2025-07-24,,,,,
SERVICIOS,Y,ALIMENTOS,,,,,
85882,77.588.947-0,2025-07-24,,,,,
85883,78.103.866-0,EROEXA,SPA,2025-07-24,,,
