Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
77.874.385-K,COMERCIAL,FENIX,SPA,2025-07-24,,
82223,77.874.677-8,2025-07-24,,,,
82224,77.936.814-9,RINAT,SPA,2025-07-24,,
82225,77.889.458-0,TRANSPORTES,ADH,SPA,2025-07-24,
82226,77.887.905-0,2025-07-24,,,,
DOMICILIARIO,EL,MAÑÍO,,,,
82227,77.352.276-6,HILEFER,SPA,2025-07-24,,
82228,96.940.740-K,NUCLEO,EDUCATIVO,S,A,2025-07-24
SOLERTIA,MARCHANT,Y,,,,
82229,77.931.766-8,2025-07-24,,,,
82230,77.354.349-6,2025-07-24,,,,
82231,77.845.486-6,COMERCIAL,NIZA,SPA,2025-07-24,
82232,77.936.976-5,2025-07-24,,,,
SANCHEZ,SANCHEZ,E.I.R.,,,,
