Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,
78.188.677-7,DISTRIBUIDORA,FV,SPA,2025-07-24,,,,
62200,76.959.418-3,CHILE,LOGISTICA,SPA,2025-07-24,,,
62201,96.525.030-1,CAS,CHILE,S,A,DE,I,2025-07-24
62202,78.189.332-3,ESPACIOS,CLEAN,SPA,2025-07-24,,,
62203,76.959.531-7,AUDIOVISUAL,Y,2025-07-24,,,,
62204,96.535.120-5,2025-07-24,,,,,,
(CHILE),S,A,,,,,,
Comercial,Shoot,Chile,,,,,,
62205,77.570.870-0,2025-07-24,,,,,,
62206,78.189.591-1,2025-07-24,,,,,,
EMPRESA,INDIVIDUAL,DE,,,,,,
62207,77.042.957-9,FELIPE,MONTENEGRO,2025-07-24,,,,
62208,96.538.130-9,2025-07-24,,,,,,
62209,76.982.219-4,2025-07-24,,,,,,
