Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
ID,Razón,Social,,,,,,
75607,76.545.852-,LUIS,ALEJANDRO,BURGOS,RIOS,SERVICIOS,INTEGRALES,EN
8,ODONTOLOGIA,E.I.R.L,,,,,,
75608,GEO,RESOURCE,SPA,2025-07-24,,,,
75609,CONSTRUCCIONES,Y,SERVICIOS,MUNDO,VERDE,SPA,2025-07-24,
SERVICIO,DE,TRANSPORTE,TURÍSTICO,BASRENT,JAIME,,,
75610,GALLARDO,HUERTA,EMPRESA,INDIVIDUAL,DE,2025-07-24,,
75611,CARPO,Y,LAGOS,LIMITADA,2025-07-24,,,
75612,SOCIEDAD,COMERCIAL,OYARCE,Y,ALFARO,LIMITADA,2025-07-24,
75613,SERVICIOS,TECNOLOGICOS,CREADEV,SPA,2025-07-24,,,
75614,SERVICIOS,DE,SEGURIDAD,MT&TM,SECURITY,SPA,2025-07-24,
75615,TRANSPORTES,BAHAMONDE,SPA,2025-07-24,,,,
75616,EVENTOS,Y,ESTUDIOS,FIRST,TEAM,LIMITADA,2025-07-24,
75617,LOCKI,SECURITY,SPA,2025-07-24,,,,
