Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
77.499.515-3,VALENZUELA,ARAYA,SPA,2025-07-24,,,
ID,GESTION,Y,,,,,
72558,76.412.796-K,2025-07-24,,,,,
72559,76.786.959-2,2025-07-24,,,,,
72560,77.436.921-K,BION,HEALTH,SPA,2025-07-24,,
72561,76.959.537-6,2025-07-24,,,,,
72562,77.532.119-9,JPC,INGENIERIA,SPA,2025-07-24,,
SOCIEDAD,COMERCIAL,E,,,,,
72563,77.401.698-8,INVERSIONES,2025-07-24,,,,
72564,76.979.801-3,2025-07-24,,,,,
MURALLASS,CHINA,LTDA,,,,,
SERVICIO,NOW,CLEAN,,,,,
72565,76.960.435-9,2025-07-24,,,,,
72566,77.500.525-4,2025-07-24,,,,,
MUÑOZ,ALFA,SPA,,,,,
72567,77.532.311-6,SOCIEDAD,R,Y,G,SPA,2025-07-24
