Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
75310,77.563.409-,FACILITANDO,INTELIGENCIA,COLECTIVA,CONSULTORÍA,Y,,
K,CAPACITACIÓN,SPA,,,,,,
75311,COMERCIALIZADORA,EDUARDO,VASQUEZ,MENESES,E.I.R.L.,2025-07-24,,
75312,RIVERA,MUÑOZ,Y,COMPAÑÍA,LIMITADA,2025-07-24,,
75313,COMERCIALIZADORA,GR,SPA,2025-07-24,,,,
75314,INGENIERIA,ACERLINES,SPA,2025-07-24,,,,
77.645.617-,PROCESADORA,Y,DISTRIBUIDORA,DE,VERDURAS,Y,FRUTAS,
75316,CORPORATE,COMPLIANCE,AND,RISK,CHILE,SPA,2025-07-24,
75317,TRANSPORTES,Y,ARRIENDO,DE,MAQUINARIA,NICNAMAU,SPA,2025-07-24
75318,SOCIEDAD,NUEVA,CARINTIA,SPA,2025-07-24,,,
75319,PARQUE,RESERVA,EL,MAITEN,SPA,2025-07-24,,
75320,CBM,BRANDS,SPA,2025-07-24,,,,
75321,CARE,PRIME,SPA,2025-07-24,,,,
