Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,
77.579.931-5,PRINT,BROTHERS,SPA,2025-07-24,,,
93406,77.580.349-5,COMERCIAL,MAIPU,SPA,2025-07-24,,
93407,77.580.585-4,2025-07-24,,,,,
CERVELA,BRAVO,E.I.R.L.,,,,,
DE,PASAJEROS,Y,,,,,
93408,77.580.822-5,2025-07-24,,,,,
93409,77.580.903-5,2025-07-24,,,,,
93410,77.582.273-2,PROYECTOS,HERPAL,2025-07-24,,,
93411,77.582.414-K,2025-07-24,,,,,
SOC,COMERCIAL,Y,,,,,
93412,77.583.240-1,FARMACEUTICA,H,Y,R,Y,2025-07-24
93413,77.584.800-6,2025-07-24,,,,,
93414,77.584.933-9,2025-07-24,,,,,
ESPARTA,TOLOZA,E.I.R.L.,,,,,
ARRIAGADA,&,CUETO,,,,,
93415,77.585.647-5,2025-07-24,,,,,
