Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6
77.225.178-5,CAPRESEM,SPA,2025-07-24,,
66656,77.127.618-0,2025-07-24,,,
PRIMERA,FUENTE,SPA,,,
66657,76.459.550-5,2025-07-24,,,
Sociedad,Mohor,y,,,
66658,76.150.651-K,Mintiglio,responsabilidad,2025-07-24,
66659,77.226.199-3,KAINI,SPA,2025-07-24,
66660,77.127.866-3,ECO-GESTIÓN,SPA,2025-07-24,
66661,77.208.513-3,ROBERTO,AUDILIO,MELO,2025-07-24
66662,77.226.532-8,2025-07-24,,,
66663,76.719.309-2,SERVIMEC,SPA,2025-07-24,
66664,77.140.443-K,ENESER,LIMITADA,2025-07-24,
66665,77.208.692-K,MUEBLES,ASENJO,2025-07-24,
