Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
ID,RUT,Proveedor,Razón,Social,,,,
77.367.153-2,BIKETURCHILE,SPA,2025-07-24,,,,,
CONSTRUCTORA,Y,CONSULTORA,ALDO,SALAS,,,,
71826,77.398.671-1,2025-07-24,,,,,,
71827,76.377.444-9,Alejandro,Villablanca,Equipos,Medicos,y,Asesorias,2025-07-24
71828,77.501.877-1,RENT,A&A,SPA,2025-07-24,,,
71829,77.367.176-1,ANCAP,SEGURIDAD,SPA,2025-07-24,,,
71830,77.398.949-4,INVERSIONES,JK,SPA,2025-07-24,,,
SOCIEDAD,AGRÍCOLA,MATTA,Y,CARVAJAL,,,,
71831,76.752.185-5,2025-07-24,,,,,,
71832,77.502.042-3,CENTRO,INDUSTRIAL,TECNOLÓGICO,SPA,2025-07-24,,
71833,77.457.584-7,TERFEL,SPA,2025-07-24,,,,
71834,77.952.025-0,MESA,SUR,SPA,2025-07-24,,,
MUEBLERÍA,WALTER,ANDREAS,FISCHER,,,,,
71835,77.651.106-4,2025-07-24,,,,,,
71836,77.458.023-9,NATIONAL,SECURITY,LIMITADA,2025-07-24,,,
