Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,
SERVICIOS,INTEGRALES,Y,,,,,,
77.118.163-5,REFRIGERACION,MARIELA,TOBAR,2025-07-24,,,,
58956,76.503.787-5,TRANSPORTES,ANTILLANCA,SPA,2025-07-24,,,
58957,76.917.813-9,OFTALMOLOGICOS,CEOLA,-,LA,2025-07-24,,
PANADERÍA,Y,ROTISERÍA,PANIVITA,,,,,
58958,76.933.579-K,2025-07-24,,,,,,
58959,76.842.688-0,COMERCIAL,PLUS,ULTRA,SPA,2025-07-24,,
DISEÑO,Y,RESTAURACIÓN,JOCELYN,,,,,
58960,76.919.027-9,2025-07-24,,,,,,
VERÓNICA,GONZÁLEZ,YA,,,,,,
CENTRO,DE,EVENTO,CASONA,SAN,,,,
58961,76.934.675-9,2025-07-24,,,,,,
INGENIERIA,Y,CONSTRUCCIONES,,,,,,
58962,76.844.768-3,2025-07-24,,,,,,
58963,76.879.325-5,FASTFRIO,SPA,2025-07-24,,,,
INSTALACIONES,DE,GASES,,,,,,
58964,76.934.935-9,MEDICINALES,Y,EQUIPOS,MÉDICOS,2025-07-24,,
58965,76.504.312-3,Ventas,y,Servicios,Gonzalo,Vera,EIRL,2025-07-24
