Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
76.169.228-3,Termical,Chile,Limitada,2025-07-24,,,
48926,76.401.221-6,CHIP,INDUSTRIAL,LTDA.,2025-07-24,,
Mantenciones,y,Servicios,Generales,,,,
48927,76.483.499-2,2025-07-24,,,,,
ACADEMIA,NACIONAL,DE,ESTUDIOS,,,,
48928,61.112.000-1,2025-07-24,,,,,
POLITICOS,Y,ESTRATEGICOS,,,,,
SOCIEDAD,DE,CAPACITACION,Y,,,,
48929,76.442.068-3,2025-07-24,,,,,
CONSULTORIA,ENC,LIMITADA,,,,,
DANOR,HORMAZABAL,MERINO,,,,,
48930,76.170.122-3,2025-07-24,,,,,
Comercializadora,Cerda,Y,cerda,,,,
48931,76.444.918-5,2025-07-24,,,,,
48932,77.800.418-6,RUSTIC,SPA,2025-07-24,,,
48933,77.947.349-K,COMERCIALIZADORA,KVM,SPA,2025-07-24,,
48934,76.171.314-0,2025-07-24,,,,,
48935,76.502.445-5,Centro,De,Educacion,Inicial,Spa,2025-07-24
48936,77.947.448-8,MAS,VENTAS,CHILE,SPA,2025-07-24,
