Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
CXONCO,SPA,2025-07-24,,,,,,
75549,SERVICIOS,Y,VENTAS,CARLOS,TORRES,CHAMORRO,E.I.R.L.,2025-07-24
75550,EMPRESA,PROVEEDORA,Y,DE,SERVICIOS,MINEROS,LIMITADA,2025-07-24
75551,COMERCIALIZADORA,LIBRARIA,LIMITADA,2025-07-24,,,,
75552,HENRIQUEZ,Y,SCHIAPPACASSE,LIMITADA,2025-07-24,,,
75553,PAPELERIA,Y,ARTICULOS,ESCRITORIO,IVIKAS,SPA,2025-07-24,
75554,VINTAGE,DESIGN,SPA,2025-07-24,,,,
75555,TRANSPORTES,M&L,SPA,2025-07-24,,,,
75556,SOCIEDAD,COMERCIAL,ASTUDILLO,Y,ESPINOZA,LIMITADA,2025-07-24,
75557,SOCIEDAD,CASTRO,Y,RETAMAL,LIMITADA,2025-07-24,,
75558,NUÑEZ,SOLUCIONES,SPA,2025-07-24,,,,
75559,INGENIERIA,Y,SERVICIOS,GOMEZ,LIMITADA,2025-07-24,,
