Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10,Campo_11
Documento,generado,el,25,de,Julio,del,2025,a,las,02:00:08
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,,,
105001,77.502.489-5,HECTOR,MUÑOZ,SPA,2025-07-24,,,,,
105002,77.502.873-4,SOCIEDAD,VICAL,SPA,2025-07-24,,,,,
105003,77.503.058-5,2025-07-24,,,,,,,,
105004,77.503.115-8,2025-07-24,,,,,,,,
AGUA,PR,&,,,,,,,,
105005,77.504.227-3,2025-07-24,,,,,,,,
105006,77.504.302-4,IMPOSEG,SPA,2025-07-24,,,,,,
105007,77.504.947-2,2025-07-24,,,,,,,,
CLIMATIZACIÓN,HOT,&,,,,,,,,
105008,77.505.254-6,2025-07-24,,,,,,,,
105009,77.506.678-4,IMPULSA,INGENIERIA,SPA,2025-07-24,,,,,
105010,77.507.849-9,CONSTRUCTORA,NUEVA,2025-07-24,,,,,,
