Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
ID,RUT,Proveedor,Razón,Social,,,,
76.376.363-3,rarama,spa,2025-07-24,,,,,
"INVERSIONES,",CONSTRUCCIONES,",",,,,,,
71814,77.456.901-4,2025-07-24,,,,,,
"COMERCIALIZACION,",GUTIERREZ,SPA,,,,,,
SOC,MEDICA,Y,MATRONA,CARRASCO,Y,OTAROLA,,
71815,77.470.700-K,2025-07-24,,,,,,
71816,77.397.760-7,REFRIGERACION,COLDCENTER,LIMITADA,2025-07-24,,,
SERVICIOS,DELTATOP,NUNEZ,Y,GONZALEZ,,,,
71817,76.751.881-1,2025-07-24,,,,,,
71818,76.376.681-0,DEDALUS,GLOBAL,SERVICES,AGENCIA,EN,CHILE,2025-07-24
71819,77.456.919-7,ARAUCANÍA,COSTERA,SPA,2025-07-24,,,
71820,77.366.966-K,NUTRIVIVIR,SPA,2025-07-24,,,,
71821,77.398.406-9,CONSTRUCTORA,LISBOA,SPA,2025-07-24,,,
71822,76.751.906-0,SUMMIT,MEDICAL,SPA,2025-07-24,,,
COMERCIALIZADORA,Y,DISTRIBUIDORA,LA,,,,,
71823,76.376.800-7,2025-07-24,,,,,,
71824,77.457.202-3,TRANSPORTES,MIRA,MAULE,SPA,2025-07-24,,
