Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
COMERCIALIZADORA,Y,DISTRIBUIDORA,PACTOS,LIMITADA,2025-07-24,,
75679,COMERCIAL,R&P,SPA,2025-07-24,,,
75680,LUSANCO,EIRL,2025-07-24,,,,
75681,CONSULTORIA,VITAL,SPA,2025-07-24,,,
75682,PLUSSESTAMPADOS,SPA,2025-07-24,,,,
75683,V&K,CLIMATIZACIÓN,Y,REFRIGERACIÓN,S.P.A.,2025-07-24,
75684,Sociedad,Comercializadora,Imacorp,Ltda.,2025-07-24,,
75685,TURISMO,GUIA,DE,LOS,RIOS,LIMITADA,2025-07-24
75686,CLEMENTE,TOURS,SPA,2025-07-24,,,
75687,CONSTRUCCIÓN,E,INGENIERÍA,SANITARIA,BEC,SPA,2025-07-24
75688,ILUMINA,INVERSIONES,LIMITADA,2025-07-24,,,
75689,GÉNOVA,SPA,2025-07-24,,,,
