Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
85470,AJ,FOOD,SERVICIOS,,,
85471,78.031.308-0,COMERCIAL,ISIDORA,SPA,2025-07-24,
85472,76.991.538-9,M2M,TECHNOLOGIES,SPA,2025-07-24,
85473,78.024.221-3,DEFENSORIA,JUSTA,SPA,2025-07-24,
85474,78.081.052-1,PROMOVISIÓN,SPA,2025-07-24,,
85475,76.991.643-1,JAC,FORKLIFT,CHILE,SPA,2025-07-24
85476,78.007.261-K,AEROSOPORTE,SPA,2025-07-24,,
AR,MAX,INGENIERÍA,Y,,,
85477,78.081.069-6,2025-07-24,,,,
CORTINAS,Y,VISILLOS,,,,
85478,76.992.711-5,2025-07-24,,,,
85479,78.007.326-8,2025-07-24,,,,
INVERSIONES,DZ,SPA,,,,
85480,78.081.525-6,2025-07-24,,,,
85481,76.992.936-3,2025-07-24,,,,
