Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10,Campo_11
Documento,generado,el,25,de,Julio,del,2025,a,las,02:00:08
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,,,
HOTELERA,Y,TURISMO,,,,,,,,
93001,96.639.580-K,2025-07-24,,,,,,,,
93002,96.880.130-9,2025-07-24,,,,,,,,
93003,96.891.420-0,Taz,S.A.,2025-07-24,,,,,,
93004,96.644.100-3,STEWARD,S,A,2025-07-24,,,,,
93005,77.433.399-1,SANTA,FE,R,Y,G,SPA,2025-07-24,,
93006,96.651.900-2,2025-07-24,,,,,,,,
93007,77.435.038-1,PATAGONIA,B&G,SPA,2025-07-24,,,,,
93008,77.429.782-0,TRANSPORTES,JUAN,2025-07-24,,,,,,
93009,96.899.890-0,Orión,2000,S.A.,2025-07-24,,,,,
93010,96.653.840-6,CLINICA,SAN,ANDRES,SA,2025-07-24,,,,
93011,77.429.969-6,2025-07-24,,,,,,,,
