Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6
52787,innovative,medicines,s.a,.,
agencia,en,chile,,,
52788,76.562.350-2,OIC,LTDA,2025-07-24,
ZULOAGA,Y,GONZÁLEZ,,,
52789,76.682.119-7,2025-07-24,,,
52790,78.070.411-K,TYF,SEGURIDAD,SPA,2025-07-24
52791,76.611.721-K,INVERSIONES,YABDDALA,2025-07-24,
UARAC,ROJAS,SPA,,,
52792,59.171.740-5,"Engineering,","Architecture,",2025-07-24,
52793,76.564.969-2,2025-07-24,,,
52794,77.264.303-9,AUDIOVIDUAL,Y,2025-07-24,
52795,76.044.086-8,INTERNATIONAL,2025-07-24,,
SCHLACK,Y,RODRIGUEZ,,,
52796,76.612.205-1,2025-07-24,,,
INGENIERIA,Y,SERVICIOS,,,
52797,76.634.519-0,INTEGRALES,MEP,S.R,2025-07-24
