Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10,Campo_11
Documento,generado,el,25,de,Julio,del,2025,a,las,02:00:08
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,,,
85001,77.960.064-5,INVERSIONES,JOSE,2025-07-24,,,,,,
85002,78.062.758-1,2025-07-24,,,,,,,,
DSE,CORREDORES,DE,,,,,,,,
85003,78.006.354-8,2025-07-24,,,,,,,,
85004,78.065.058-3,2025-07-24,,,,,,,,
85005,77.960.486-1,ESNET,SPA,2025-07-24,,,,,,
85006,78.005.515-4,2025-07-24,,,,,,,,
85007,78.065.174-1,NEOGRAFIK,SPA,2025-07-24,,,,,,
85008,78.150.948-5,INVERSIONES,INFINITO,2025-07-24,,,,,,
85009,78.005.746-7,DIPROMERC,SPA,2025-07-24,,,,,,
85010,78.006.818-3,IMPERCON,SPA,2025-07-24,,,,,,
