Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10,Campo_11
Documento,generado,el,25,de,Julio,del,2025,a,las,02:00:08
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,,,
69001,77.307.663-4,RECURSOS,HUMANOS,2025-07-24,,,,,,
FULL,VAPOR,SERVICIOS,,,,,,,,
69002,77.246.672-2,2025-07-24,,,,,,,,
AUTOMOTRIZ,P&R,SPA,,,,,,,,
69003,77.531.451-6,2025-07-24,,,,,,,,
GONZALEZ,Y,COMPANIA,,,,,,,,
69004,76.253.095-3,2025-07-24,,,,,,,,
SOCIEDAD,DE,VENTAS,Y,,,,,,,
69005,77.332.526-K,2025-07-24,,,,,,,,
SERVICIOS,EMETEC,SPA,,,,,,,,
69006,77.216.417-3,MADCONT,SPA,2025-07-24,,,,,,
INGENIERÍA,Y,SERVICIOS,,,,,,,,
69007,77.355.925-2,2025-07-24,,,,,,,,
69008,76.588.562-0,AM,SYSTEM,CHILE,2025-07-24,,,,,
RECICLAJE,MARIA,DE,,,,,,,,
69009,76.818.951-K,LOS,ANGELES,LEIVA,E.I.R.,2025-07-24,,,,
69010,77.217.022-K,GRUPO,EDIL,SPA,2025-07-24,,,,,
