Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6
78.158.272-7,ENERFLUX,SPA,2025-07-24,,
88056,77.122.713-9,ENTRENOS,SPA,2025-07-24,
88057,77.072.962-9,UROON,SPA,2025-07-24,
88058,78.170.695-7,2025-07-24,,,
CABRITO,NEGRO,SPA,,,
88059,77.666.884-2,2025-07-24,,,
88060,77.122.922-0,HR,PROFILE,SPA,2025-07-24
88061,78.172.417-3,2025-07-24,,,
88062,77.667.463-K,2025-07-24,,,
88063,77.123.628-6,INVERSIONES,2025-07-24,,
LUBRICANTES,JG,SPA,,,
88064,78.173.606-6,2025-07-24,,,
88065,77.668.164-4,2025-07-24,,,
88066,78.159.062-2,2025-07-24,,,
