Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10,Campo_11
Documento,generado,el,25,de,Julio,del,2025,a,las,02:00:08
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,,,
103001,76.368.859-3,2025-07-24,,,,,,,,
103002,76.368.904-2,Visualcenter,spa,2025-07-24,,,,,,
103003,76.369.344-9,MUEBLES,SANTIAGO,2025-07-24,,,,,,
103004,76.369.751-7,TURISMO,MISI,SPA,2025-07-24,,,,,
103005,76.369.777-0,2025-07-24,,,,,,,,
103006,76.370.023-2,RADIOVAN,SPA,2025-07-24,,,,,,
BETASALUD,LUIS,FELIPE,,,,,,,,
103007,76.372.609-6,EMPRESA,INDIVIDUAL,DE,2025-07-24,,,,,
Servicios,Integrales,Illapel,,,,,,,,
103008,76.372.674-6,2025-07-24,,,,,,,,
103009,76.372.731-9,2025-07-24,,,,,,,,
103010,76.373.074-3,ODONTOLOGICOS,DEL,2025-07-24,,,,,,
