Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,
78.130.666-5,COMERCIALIZADORA,2025-07-24,,,,,
FORESIGHT,ASESORIAS,Y,,,,,
76078,77.591.068-2,2025-07-24,,,,,
ALMARS,INGENIERIA,Y,,,,,
76079,77.634.807-4,CONSTRUCCION,2025-07-24,,,,
76080,77.071.404-4,CROBAK,SPA,2025-07-24,,,
76081,77.556.299-4,2025-07-24,,,,,
MAQUINARIAS,BJE,SPA,,,,,
76082,77.636.013-9,O,Y,V,SEGURIDAD,SPA,2025-07-24
SOC,ELECTRICA,HECSO,,,,,
76083,77.599.160-7,2025-07-24,,,,,
TURISMO,Y,DESARROLLO,,,,,
76084,77.556.543-8,2025-07-24,,,,,
76085,77.683.545-5,TRARO,SPA,2025-07-24,,,
76086,76.960.251-8,TBF,SPORTS,SPA,2025-07-24,,
GGR,INGENIERÍA,CIVIL,,,,,
76087,77.071.969-0,2025-07-24,,,,,
