Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
77.998.657-8,PERRO,PIXEL,SPA,2025-07-24,,
INTÉGRA,Y,PROYECTA,,,,
85296,78.073.622-4,2025-07-24,,,,
85297,77.561.683-0,M,&,S,SPA,2025-07-24
85298,77.998.806-6,2025-07-24,,,,
85299,78.167.102-9,2025-07-24,,,,
85300,77.562.039-0,VIEJO,AMOR,SPA,2025-07-24,
85301,78.077.937-3,CYH,SPA,2025-07-24,,
85302,78.167.165-7,CUENKA,SPA,2025-07-24,,
85303,78.016.097-7,2025-07-24,,,,
85304,78.024.449-6,2025-07-24,,,,
85305,78.073.682-8,LOCAS,CREANDO,SPA,2025-07-24,
