Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,
48497,SOC.,CERDA,GONZALEZ,POULSEN,,,
Y,VALENZUELA,LTDA.,,,,,
48498,76.384.925-2,BOOM,PUBLICIDAD,LIMITADA,2025-07-24,,
48499,76.463.743-7,MULTICLIMA,SPA,2025-07-24,,,
Urriola,hermanos,Servicios,y,Obras,,,
48500,76.491.426-0,2025-07-24,,,,,
Diagnósticos,Clínica,Alemana,de,,,,
48501,76.434.593-2,2025-07-24,,,,,
SOCIEDAD,MEDICA,DE,,,,,
48502,77.142.081-8,2025-07-24,,,,,
ESPECIALISTAS,CUBANOS,SPA,,,,,
ATHOS,"INGENIERIA,",PROCESOS,Y,,,,
48503,76.139.846-6,2025-07-24,,,,,
48504,76.385.871-5,GRUPO,ZGH,SPA,2025-07-24,,
48505,77.143.429-0,NET,LOGISTICS,SPA,2025-07-24,,
48506,76.491.710-3,2025-07-24,,,,,
CLINICA,MIRAFLORES,S,A,,,,
EQUIPOS,MEDICIÓN,Y,CONTROL,,,,
48507,76.435.223-8,2025-07-24,,,,,
48508,76.430.388-1,acfa,ingeniería,y,servicios,spa,2025-07-24
