Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,
56907,FERRETERIA,EL,MOLINO,,,,
56908,76.845.264-4,FANSCLUB,SPA,2025-07-24,,,
56909,78.025.736-9,2025-07-24,,,,,
56910,77.371.945-4,PERPETUAL,SPA,2025-07-24,,,
56911,78.025.749-0,2025-07-24,,,,,
56912,76.017.626-5,2025-07-24,,,,,
INDIVIDUAL,DE,RESP,,,,,
56913,76.415.882-2,2025-07-24,,,,,
56914,78.173.925-1,DESARROLLO,DE,2025-07-24,,,
56915,76.845.306-3,AVANCE,INGENIERÍA,SPA,2025-07-24,,
56916,76.247.853-6,hermanos,bruna,y,cía,ltda,2025-07-24
56917,78.026.071-8,COMERCIAL,BALAG,SPA,2025-07-24,,
