Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
77.405.700-5,COMERCIALIZADORA,2025-07-24,,,,
36264,76.470.336-7,2025-07-24,,,,
36265,76.471.598-5,2025-07-24,,,,
A,Y,R,SALUD,INTEGRAL,,
36266,77.406.427-3,2025-07-24,,,,
36267,77.441.082-1,2025-07-24,,,,
VICIF,TECHNOLOGIES,SPA,,,,
36268,77.441.381-2,ELECTRICISTAS,CHILE,SPA,2025-07-24,
36269,77.406.871-6,ZAMORA,E,HIJOS,SPA,2025-07-24
SOCIEDAD,HOTELERA,DON,,,,
36270,76.471.650-7,2025-07-24,,,,
Soc.,Com.Fuentes,y,Medina,,,
36271,76.471.665-5,2025-07-24,,,,
36272,77.441.504-1,DANI3D,SPA,2025-07-24,,
36273,76.472.716-9,DULCE,AVENTURA,2025-07-24,,
