Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,
77.764.746-6,MANTENIMIENTO,TERÁN,Y,2025-07-24,,,
79885,76.774.494-3,INDUNET,EDUCA,SPA,2025-07-24,,
SERVICIOS,TECNOLOGICOS,Y,,,,,
79886,77.789.534-6,2025-07-24,,,,,
MARIANELA,OLIVARES,M,Y,R,,,
PRODUCTOS,EN,MADERA,,,,,
79887,77.782.653-0,CARLOS,NÚÑEZ,ÁLVAREZ,E.I.,2025-07-24,
79888,77.783.432-0,NEUROQUIRURGICOS,2025-07-24,,,,
79889,86.836.300-2,ROMANINI,LACA,Y,CIA,LTDA,2025-07-24
CONSULTORÍA,DE,GESTIÓN,,,,,
79890,77.731.048-8,2025-07-24,,,,,
SOC,SANCHIRICO,HERMANOS,,,,,
79891,77.844.150-0,2025-07-24,,,,,
79892,77.831.378-2,PLANET,COLAB,SPA,2025-07-24,,
G&K,TRADE,Y,SERVICES,,,,
79893,77.933.049-4,2025-07-24,,,,,
