Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,,
78.176.725-5,SURK,SPA,2025-07-24,,,,,,
ACTING,CHILE,CIA,IND,Y,,,,,
95574,78.177.130-9,2025-07-24,,,,,,,
GRUPO,FARIÑA,&,LEIVA,,,,,,
95575,78.178.735-3,2025-07-24,,,,,,,
95576,78.179.681-6,EARDILES,SPA,2025-07-24,,,,,
95577,77.822.044-K,ZUVIC,LIMITADA,2025-07-24,,,,,
95578,78.180.247-6,NEFROX,SPA,2025-07-24,,,,,
95579,78.181.218-8,2025-07-24,,,,,,,
95580,77.822.172-1,GROENNHUS,SPA,2025-07-24,,,,,
95581,78.181.355-9,DOM,GROUP,SPA,2025-07-24,,,,
95582,77.822.488-7,M,&,M,PADRE,E,HIJO,SPA,2025-07-24
95583,78.181.691-4,CONSTRUCTORA,2025-07-24,,,,,,
