Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10,Campo_11
Documento,generado,el,25,de,Julio,del,2025,a,las,02:00:08
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,,,
GRANDON,Y,MORALES,,,,,,,,
57001,76.024.497-K,2025-07-24,,,,,,,,
SOCIEDAD,SANHUEZA,Y,,,,,,,,
57002,76.749.201-4,2025-07-24,,,,,,,,
57003,76.795.755-6,BIOTRANSPORTES,LIMITADA,2025-07-24,,,,,,
SOCIEDAD,MEDICA,DR.,,,,,,,,
57004,76.249.928-2,2025-07-24,,,,,,,,
CARLOS,MUÑOZ,Y,CIA,LTDA,,,,,,
57005,77.054.423-8,PROMAQ,SERVICIOS,SPA,2025-07-24,,,,,
57006,78.178.258-0,NUESTRA,TRIBU,SPA,2025-07-24,,,,,
57007,76.776.227-5,COLOR-SIGN,SPA,2025-07-24,,,,,,
57008,76.796.086-7,2025-07-24,,,,,,,,
57009,76.834.695-K,OLMOS,CO,SPA,2025-07-24,,,,,
57010,77.378.852-9,2025-07-24,,,,,,,,
