Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10,Campo_11
Documento,generado,el,25,de,Julio,del,2025,a,las,02:00:08
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,,,
SERVICIOS,DE,LOGISTICA,,,,,,,,
106001,77.970.793-8,Y,COMERCIALIZADORA,2025-07-24,,,,,,
106002,77.971.943-K,L,&,J,SOLUCIONES,SPA,2025-07-24,,,
106003,77.972.725-4,EVALUAIT,SPA,2025-07-24,,,,,,
106004,77.972.758-0,RAVIGUS,SPA,2025-07-24,,,,,,
106005,77.972.981-8,DE,MAQUINARIA,2025-07-24,,,,,,
106006,77.973.102-2,LOS,ADOBES,SPA,2025-07-24,,,,,
E.GG.S,-,PRODUCCIONES,,,,,,,,
106007,77.973.201-0,2025-07-24,,,,,,,,
&,ART,SPA,,,,,,,,
106008,77.973.335-1,2025-07-24,,,,,,,,
106009,77.973.725-K,2025-07-24,,,,,,,,
106010,77.973.876-0,PHARMACEUTICALS,2025-07-24,,,,,,,
