Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
76.789.646-8,AYT,SERVICIOS,SPA,2025-07-24,,
72602,77.515.419-5,INVERSIONES,SANTELMO,2025-07-24,,
THE,COFFE,BREAK,,,,
72603,77.534.269-2,2025-07-24,,,,
72604,77.405.554-1,CAMIRONDRES,SPA,2025-07-24,,
72605,77.686.734-9,SEGURIDAD,2025-07-24,,,
72606,76.414.748-0,DIGEVO,VENTURES,SPA,2025-07-24,
PROVEEDOR,AGRICOLA,Y,,,,
72607,76.981.568-6,2025-07-24,,,,
72608,77.439.703-5,NUESTRA,COCINA,SPA,2025-07-24,
72609,77.978.904-7,COMERCIAL,LOTUS,SPA,2025-07-24,
72610,76.961.537-7,INFESER,SPA,2025-07-24,,
72611,77.534.316-8,STM,SERVICIOS,SPA,2025-07-24,
