Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
ID,Razón,Social,,,,,,
GHC,SERVICIOS,INDUSTRIALES,SPA,2025-07-24,,,,
75013,CAMILA,TORO,Y,ASOCIADOS,SPA,2025-07-24,,
75014,ATERA,MEDIA,GROUP,SPA.,2025-07-24,,,
75015,EMPRESA,M&M,SPA,2025-07-24,,,,
75016,CONTRUCCION,Y,MANTENCION,DONOSO,Y,ASOCIADOS,SPA,2025-07-24
75017,SOCIEDAD,BRAVO,Y,HERMANOS,SPA,2025-07-24,,
75018,SERVICIOS,DE,URGENCIAS,Y,AMBULANCIAS,EMI,SPA,2025-07-24
75019,COMERCIAL,SOTO,ESPINOZA,LIMITADA,2025-07-24,,,
75020,BAÑO,MÓVIL,HG,SPA,2025-07-24,,,
75021,B,&,M,SERVICIOS,INTEGRALES,SPA,2025-07-24,
75022,GASTRONOMIA,Y,HOTELERIA,MUNICH,SPA,2025-07-24,,
75023,AYN,DREAM,CLEAN,ARICA,SPA,2025-07-24,,
