Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,
78.095.884-7,VITALVID,SPA,2025-07-24,,,,,
99144,78.096.022-1,SOCIEDAD,JAB,SPA,2025-07-24,,,
MINIMARKET,KATHERINE,GISSEL,,,,,,
99145,78.096.042-6,2025-07-24,,,,,,
TAPIA,YAÑEZ,E.I.R.L.,,,,,,
99146,96.681.550-7,CONSTRUCTORA,VICONSA,S,A,2025-07-24,,
99147,96.684.480-9,OBRAS,Y,MONTAJES,VIAL,S,A,2025-07-24
99148,78.096.091-4,ESTRUCTURAS,METALICAS,MAX,2025-07-24,,,
RIVEROS,MUÑOZ,E.I.R.L.,,,,,,
99149,78.096.583-5,GENTU,SPA,2025-07-24,,,,
DIARIO,EL,DIVISADERO,-,CIA,,,,
99150,96.695.300-4,PERIODISTICA,E,IMPRENTA,2025-07-24,,,
99151,96.695.940-1,AIRLIFE,CHILE,S.A.,2025-07-24,,,
PROMOTION,PRODUCCIONES,Y,,,,,,
99152,78.097.772-8,2025-07-24,,,,,,
99153,96.696.000-0,MedicalTek,CHILE,S.A.,2025-07-24,,,
