Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,
76.999.751-2,TRACOMI,SPA,2025-07-24,,,,
60720,77.173.658-0,2025-07-24,,,,,
60721,76.181.276-9,Ramaciotti,y,Mantelli,Cia,Ltda,2025-07-24
SAN,PABLO,CLÍNICA,,,,,
60722,76.422.979-7,2025-07-24,,,,,
60723,76.907.663-8,INVERSIONES,C,Y,F,SPA,2025-07-24
60724,77.001.332-1,2025-07-24,,,,,
60725,78.131.055-7,2025-07-24,,,,,
60726,77.529.987-8,TURBOMAQ,SPA,2025-07-24,,,
60727,76.964.307-9,2025-07-24,,,,,
VASQUEZ,LAMAS,E.I.R.L,,,,,
60728,76.911.584-6,IMPORTADORA,N,Y,N,SPA,2025-07-24
60729,77.001.797-1,INVERSIONES,JB,SPA,2025-07-24,,
60730,76.937.068-4,2025-07-24,,,,,
SANTOS,LOPEZ,LIMITADA,,,,,
