Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
78.060.400-K,EXXIMMED,2000,SPA,2025-07-24,,,,
58327,76.878.254-7,CONSTRUCTORA,TEPUHUEICO,SPA,2025-07-24,,,
58328,77.090.774-8,MAGDALA,SPA,2025-07-24,,,,
58329,76.818.437-2,JULIO,ANDRES,KORNER,LOBOS,SPA,2025-07-24,
SOLUCIONES,DE,INGENIERÍA,CESAR,,,,,
58330,76.478.759-5,2025-07-24,,,,,,
BIOSYSTEM,24/7,OBRAS,Y,SERVICIOS,,,,
58331,76.878.388-8,2025-07-24,,,,,,
58332,77.091.931-2,M,Y,F,CENTRO,MEDICO,SPA,2025-07-24
58333,76.858.940-2,CONFECCIONES,TABITA,LTDA,2025-07-24,,,
CENTRO,DE,ALIMENTACIÓN,,,,,,
58334,76.819.752-0,DIETETICA,JOSE,MGUEL,SALGADO,2025-07-24,,
SOC,GANADERA,ESTANCIA,PUNTA,,,,,
58335,79.597.220-K,2025-07-24,,,,,,
DEL,MONTE,LT,,,,,,
58336,77.432.029-6,IT'ERIA,SPA,2025-07-24,,,,
