Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,
85240,HYDRA,PLUS,INGENIERA,,,,
Y,CONSTRUCCION,SPA,,,,,
SOCIEDAD,CANASTA,Y,,,,,
85241,77.994.983-4,2025-07-24,,,,,
85242,78.071.599-5,2025-07-24,,,,,
85243,78.014.384-3,COMERCIALIZADORA,2025-07-24,,,,
85244,77.995.248-7,FRANJO,SPA,2025-07-24,,,
85245,78.072.021-2,TRANSPORTES,MMD,SPA,2025-07-24,,
85246,78.165.198-2,2025-07-24,,,,,
ECHEVERRIA,SILVA,SPA,,,,,
85247,77.995.682-2,JARA,PADRE,E,HIJO,SPA,2025-07-24
85248,78.075.901-1,DIGITAL,PABLO,PINTO,2025-07-24,,
LH,INGENIERIA,Y,,,,,
85249,78.014.848-9,2025-07-24,,,,,
85250,77.996.106-0,MAKANDY,SPA,2025-07-24,,,
