Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
ID,RUT,Proveedor,Razón,Social,,,,
77.376.511-1,COLLA,COMUNICACIONES,SPA,2025-07-24,,,,
71979,77.376.265-1,AGUAS,SUBTERRÁNEAS,CHILE,SPA,2025-07-24,,
71980,77.410.126-8,SLIM,SPA,2025-07-24,,,,
71981,76.762.351-8,GASPROYECTOS,SPA,2025-07-24,,,,
71982,77.958.119-5,DELICIAS,DE,ROUS,SPA,2025-07-24,,
71983,77.505.967-2,HYDRO-VIAL,INGENIERÍA,Y,CONSTRUCCIÓN,SPA,2025-07-24,
71984,77.376.273-2,IGMASEG,SPA,2025-07-24,,,,
71985,77.411.625-7,INVERSIONES,NOLEP,SPA,2025-07-24,,,
71986,76.762.355-0,DELICIAS,MAGUS,SPA,2025-07-24,,,
71987,76.951.977-7,PLAGAS,ALEX,JAVIER,LAGOS,TENORIO,E.I.R.L.,2025-07-24
71988,77.376.545-6,SOLUCIONES,ELÉCTRICAS,CVT,LIMITADA,2025-07-24,,
VENTAS,POR,MENOR,SANDRA,CASTILLO,,,,
71989,77.481.597-K,2025-07-24,,,,,,
