Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,
76.032.458-2,VALDOVINOS,AHUMADA,2025-07-24,,,,
16422,76.058.882-2,Juan,Music,y,Cia,Ltda.,2025-07-24
Sociedad,de,Profesionales,,,,,
16423,76.088.539-8,2025-07-24,,,,,
Histonor,Patólogos,Ltda.,,,,,
16424,76.059.183-1,LIVE,2025-07-24,,,,
16425,76.088.666-1,2025-07-24,,,,,
16426,76.060.534-4,SEDIMAR,LIMITADA,2025-07-24,,,
16427,76.089.478-8,SERVICIOS,DIPROSER,2025-07-24,,,
16428,76.061.161-1,CONSTRUCTORA,2025-07-24,,,,
EMPRESA,INDIVIDUAL,DE,,,,,
16429,76.091.213-1,INVERSIONES,AC,2025-07-24,,,
16430,76.061.575-7,Impulsando,Consultores,2025-07-24,,,
