Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6
103179,Capacitaciones,M&C,,,
103180,76.470.323-5,comercializadora,de,2025-07-24,
vestuario,en,gr,,,
AGRICOLA,DUHATAO,DE,,,
103181,76.470.559-9,2025-07-24,,,
Servicios,de,Banqueteria,,,
103182,76.471.154-8,2025-07-24,,,
Eventos,Express,Limitada,,,
103183,76.472.448-8,2025-07-24,,,
productora,y,evento,tyh,,
103184,76.472.486-0,2025-07-24,,,
103185,76.473.305-3,URIBE,ACADEMY,SPA,2025-07-24
103186,76.473.364-9,2025-07-24,,,
103187,76.473.435-1,2025-07-24,,,
Rodrigo,Cristian,Sanhueza,,,
103188,76.473.646-K,2025-07-24,,,
Fredes,next,service,E.I.,,
103189,76.474.900-6,INGENIERIA,Y,SERVICIOS,2025-07-24
