Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
86011,SOCIEDAD,COMERCIAL,,,,
WERNER,Y,RADDATZ,SPA,,,
86012,78.058.891-8,KENOTRUCK,SPA,2025-07-24,,
86013,78.110.705-0,WITRUM,SPA,2025-07-24,,
86014,78.052.509-6,LOGI,SYSTEM,SPA,2025-07-24,
86015,78.058.995-7,MORFOSIS,SPA,2025-07-24,,
86016,78.029.816-2,PASCAR,SPA,2025-07-24,,
86017,78.111.398-0,TELECOMUNICACIONES,Y,2025-07-24,,
86018,78.052.545-2,FEMCO,CHILE,SPA,2025-07-24,
86019,78.484.110-3,2025-07-24,,,,
86020,78.030.120-1,2025-07-24,,,,
86021,78.105.579-4,GENERALES,BAYRON,2025-07-24,,
