Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
77.723.022-0,LOGIPAK,SPA,2025-07-24,,,,,
SOCIEDAD,H&C,DISEÑO,Y,,,,,
65963,76.684.755-2,2025-07-24,,,,,,
65964,77.100.466-0,SERMACOL,INGENIERÍA,SPA,2025-07-24,,,
Sociedad,Comercial,Los,,,,,,
65965,76.123.937-6,2025-07-24,,,,,,
65966,76.426.360-K,INGEMAS,S.A.,2025-07-24,,,,
65967,76.684.779-K,VENT,DE,NEU,Y,CAM,YASNA,2025-07-24
SISTEMAS,VIRTUALES,Y,,,,,,
65968,77.100.512-8,2025-07-24,,,,,,
JURÍDICOS,DUDU,SPA,,,,,,
SERVICIOS,DE,SOFTWARE,Y,,,,,
65969,77.174.186-K,CONSULTORÍA,LUIS,DEL,2025-07-24,,,
CAMPO,VEJAR,E.I.R.L.,,,,,,
65970,77.117.435-3,SUSANA,ANGELICA,AGUERO,2025-07-24,,,
CONSULTORA,JORGE,AVILA,,,,,,
65971,76.685.699-3,2025-07-24,,,,,,
COMERCIAL,Y,DISTRIBUIDORA,,,,,,
65972,77.196.372-2,2025-07-24,,,,,,
