Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6
78.111.343-3,&,MANTENCIONES,JLM,2025-07-24,
87809,79.620.090-1,2025-07-24,,,
87810,78.204.403-6,ZEGRAL,SPA,2025-07-24,
M&S,SERVICIOS,-,,,
87811,78.111.923-7,2025-07-24,,,
87812,79.651.080-3,MELEJ,Y,COMPANIA,2025-07-24
87813,78.204.406-0,CONSTRUCCION,2025-07-24,,
SERVICIOS,MÉDICOS,Y,,,
87814,78.112.361-7,2025-07-24,,,
METALURGICA,R,C,M,,
87815,79.680.970-1,2025-07-24,,,
ÁREAS,VERDES,ABEL,,,
87816,78.090.302-3,MOISÉS,JEREZ,CELEDÓN,2025-07-24
87817,78.205.140-7,2025-07-24,,,
87818,78.112.945-3,R&M,INGENIERIA,SPA,2025-07-24
