Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
88802,ARQUITECTURA,Y,,,,
88803,78.208.682-0,NICOLAS,GARCIA,2025-07-24,,
88804,78.153.488-9,AGROPECUARIA,2025-07-24,,,
BARRIENTOS,&,MORAN,,,,
TURISMO,WILD,TRAVEL,,,,
88805,77.112.264-7,2025-07-24,,,,
88806,78.208.764-9,2025-07-24,,,,
CERON,DALBORA,Y,CIA,,,
88807,88.629.900-1,2025-07-24,,,,
88808,79.977.110-1,COMERCIALIZADORA,2025-07-24,,,
88809,78.661.440-6,2025-07-24,,,,
MMORA,INGENIERIA,Y,,,,
88810,78.154.108-7,2025-07-24,,,,
88811,79.980.780-7,DIÁLISIS,GRAN,AVENIDA,2025-07-24,
