Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10
ID,Razón,Social,,,,,,,
75844,77.626.284-,SERVICIOS,DE,LIMPIEZA,MILEN,MILDRELT,AGUIRRE,,
6,FERNANDEZ,E.I.R.L.,,,,,,,
75845,SERVICIOS,INTEGRALES,M&L,SPA,2025-07-24,,,,
75846,COMERCIALIZADORA,ALTOCUMBRE,SPA,2025-07-24,,,,,
75847,MARKETING,Y,COMERCIO,EXTERIOR,DE,ALIMENTOS,E,INSUM,2025-07-24
75848,MYCELIUM,PRODUCCIONES,SPA,2025-07-24,,,,,
75849,INCLUSIVE,SECURITY,SPA,2025-07-24,,,,,
75850,CESAR,OPAZO,RIVAS,Y,COMPANIA,LIMITADA,2025-07-24,,
75851,SERVICIOS,LESLIE,LARA,E.I.R.L.,2025-07-24,,,,
75852,CONSTRUCTORA,VERTICE,SPA,2025-07-24,,,,,
75853,PINTAVICS,SPA,2025-07-24,,,,,,
75854,Bioquimica.cl,2025-07-24,,,,,,,
75855,CONSTRUCCIONES,VILLA,SPA,2025-07-24,,,,,
