Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,
77.259.272-8,VIBRAZIONE,SPA,2025-07-24,,,,
BLEST,SMART,SOLUTION,,,,,
67238,77.437.769-7,2025-07-24,,,,,
67239,96.505.760-9,COLBUN,S.A.,2025-07-24,,,
67240,77.163.498-2,Ojales,SpA,2025-07-24,,,
67241,77.259.625-1,G,Y,L,SERVICIOS,SPA,2025-07-24
67242,96.518.050-8,2025-07-24,,,,,
67243,77.152.021-9,ORBO,CHILE,SPA,2025-07-24,,
67244,77.260.154-9,2025-07-24,,,,,
67245,16.286.495-5,2025-07-24,,,,,
V,&,G,TRANSPORTES,Y,,,
67246,77.248.762-2,2025-07-24,,,,,
67247,77.152.427-3,2025-07-24,,,,,
