Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6
78.095.579-1,TELECOMUNICACIONES,Y,2025-07-24,,
RRO,CONSTRUCCIÓN,Y,,,
85809,77.988.385-K,2025-07-24,,,
AB,SAMI,SERVICIOS,,,
85810,78.289.660-1,2025-07-24,,,
85811,78.100.345-K,2025-07-24,,,
85812,77.988.407-4,2025-07-24,,,
85813,78.018.378-0,V&A,TRANSPORTES,SPA,2025-07-24
85814,78.096.289-5,KAMINO,56,SPA,2025-07-24
EZARC,ARQUITECTURA,Y,,,
85815,77.585.844-3,2025-07-24,,,
85816,78.038.127-2,2025-07-24,,,
85817,78.096.298-4,2025-07-24,,,
85818,77.989.045-7,2025-07-24,,,
THECNICAL,SERVICE,SPA,,,
