Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,
77.906.847-1,VIDARTE,SPA,2025-07-24,,,,
82906,77.913.670-1,THERMO,CLIMA,LIMITADA,2025-07-24,,
JCS,VENTANAS,DE,PVC,Y,,,
82907,77.962.194-4,2025-07-24,,,,,
82908,77.395.422-4,CONSTRUCCIÓN,2025-07-24,,,,
82909,77.906.848-K,INVERSIONES,A,&,R,SPA,2025-07-24
82910,77.917.609-6,2025-07-24,,,,,
82911,77.968.003-7,2025-07-24,,,,,
82912,78.038.183-3,B.E.T.A,SPA,2025-07-24,,,
82913,77.913.863-1,2025-07-24,,,,,
JUNTOS,AMET,QUISPE,,,,,
82914,77.968.288-9,2025-07-24,,,,,
DE,AGUAS,SPA,,,,,
82915,76.906.659-4,RESYS,SPA,2025-07-24,,,
