Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6
83052,TRANSPORTES,VIDORI,,,
83053,78.048.773-9,EXPORTADORA,SOUTH,2025-07-24,
C,D,H,INGENIERIA,,
83054,77.972.670-3,2025-07-24,,,
83055,77.925.265-5,CARPAS,JOELO,SPA,2025-07-24
83056,77.972.873-0,INVERSIONES,MST,SPA,2025-07-24
CATERINE,GÓMEZ,VEGA,,,
83057,77.405.854-0,2025-07-24,,,
83058,77.973.086-7,2025-07-24,,,
SOCIEDAD,MEDICA,Y,,,
83059,76.914.233-9,PROFESIONAL,2025-07-24,,
CENTRO,DE,BELLEZA,,,
83060,77.406.358-7,2025-07-24,,,
INTEGRAL,FRIENDS,SPA,,,
DEVICENTE,INGENIERÍA,Y,,,
83061,77.969.139-K,2025-07-24,,,
83062,77.925.275-2,2025-07-24,,,
