Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10
INGENIERIA,Y,CONTRUCCIONES,MASA,SPA,2025-07-24,,,,
75477,PRISMA,CONSTRUCCIÓN,LIMITADA,2025-07-24,,,,,
75478,BOSQUES,URBANOS,LIMITADA,2025-07-24,,,,,
77.078.004-,PACSI,GENESIS,DEVIA,CUADROS,FOOD,TRUCH,BANQUETERIA,,
75480,INMOBILIARIA,GUGGISBERG,SPA,2025-07-24,,,,,
75481,PRODUCCIONES,CHRISTIAN,ALEGRIA,MARTINEZ,E.I.R.L.,2025-07-24,,,
75482,COMERCIALIZADORA,SIERRA,E,HIJO,LIMITADA,2025-07-24,,,
75483,INVERSIONES,TORREALBA,FERNANDEZ,SPA,2025-07-24,,,,
75484,MIXTURA,SERVICIOS,DE,DISEÑO,ARTE,Y,CONSTRUCCIÓN,SPA,2025-07-24
75485,COMERCIALIZADORA,EMILIANA,FLORES,E.I.R.L.,2025-07-24,,,,
75486,MG,CONSULTORES,2025-07-24,,,,,,
77.566.630-,SOC,PRESTADORA,DE,SERVICIOS,MEDIOAMBIENTALES,,,,
