Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
ID,RUT,Proveedor,Razón,Social,,,,
77.650.688-5,REDESCOM,SPA,2025-07-24,,,,,
71802,77.365.026-8,JAH,COMUNICACIÓN,AUDIOVISUAL,SPA,2025-07-24,,
CONSULTORA,"ENERGÉTICA,",AGUA,Y,ENERGÍA,,,,
71803,76.750.784-4,2025-07-24,,,,,,
71804,76.945.055-6,ASEO,Y,LIMPIEZA,INTEGRAL,+1,LIMITADA,2025-07-24
71805,77.365.186-8,D&M,CONSULTORES,SPA,2025-07-24,,,
71806,77.470.459-0,PRESTACIONES,MÉDICAS,SRJ,CUMINAO,SPA,2025-07-24,
71807,76.751.324-0,INCOVERS,SPA,2025-07-24,,,,
71808,76.932.718-5,TRANSPORTE,GMO,SPA,2025-07-24,,,
71809,77.366.345-9,J.A.,MONTAJES,INDSTRIALES,SPA,2025-07-24,,
SERVICIOS,INTEGRALES,DE,SALUD,MILDRED,,,,
71810,77.470.463-9,2025-07-24,,,,,,
M&W,SOCIEDAD,DE,SERVICIOS,E,INVERSIONES,,,
71811,77.951.941-4,2025-07-24,,,,,,
SOCIEDAD,DE,TRANSPORTE,GONZALO,ANDRES,,,,
71812,76.751.527-8,2025-07-24,,,,,,
