Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,
AIRE,ACONDICIONADO,Y,,,,,
77.121.277-8,OBRAS,",",BRYAN,MOLINA,2025-07-24,,
104356,77.122.596-9,GEODIAMANTE,SPA,2025-07-24,,,
104357,77.123.621-9,RIGO,LIMPIO,SPA,2025-07-24,,
CENTRO,DE,MEDICINA,,,,,
104358,77.124.588-9,NATURAL,E,INTEGRAL,2025-07-24,,
CENTRO,DE,ESTUDIOS,,,,,
104359,77.124.695-8,GRÁFICOS,MARIANA,2025-07-24,,,
104360,77.124.733-4,BIOMATECH,F,Y,D,SPA,2025-07-24
104361,77.124.772-5,2025-07-24,,,,,
104362,77.124.902-7,GCS,PRODUCCIONES,SPA,2025-07-24,,
104363,77.125.927-8,2025-07-24,,,,,
104364,77.125.971-5,SEL,INGENIERÍA,SPA,2025-07-24,,
104365,77.126.337-2,2025-07-24,,,,,
