Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
CC,DENTAL,CHILE,SPA,2025-07-24,,,,
75323,AUTOMOTRIZ,RUTA,NORTE,LTDA,2025-07-24,,,
75324,CONSTRUCCIÓN,E,INGENIERÍA,MEPJOM,SPA,2025-07-24,,
75325,COMERCIALIZADORA,Y,CONSULTORA,CAMUS,ASOCIADOS,SPA,2025-07-24,
75326,PRAGMATIC,SPA,2025-07-24,,,,,
75327,SERVICIOS,INTEGRALES,A,LA,CONSTRUCCION,SPA,2025-07-24,
75328,CONSTRUCTORA,TNB,SPA,2025-07-24,,,,
75329,COMASER,CONSTRUCCION,E,INGENIERIA,LIMITADA,2025-07-24,,
SOCIEDAD,DE,INVERSIONES,Y,COMERCIALIZADORA,DE,,,
75330,MATERIALES,DE,CONSTRUCCION,Y,"MADERAS,",LA,PALMERA,2025-07-24
75331,TROFEOS,CONCEPCIÓN,SPA,2025-07-24,,,,
75332,CONSTRUCTORA,E,INMOBILIARIA,CH,SPA,2025-07-24,,
