Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
74675,OPPORTUNITY,CLASS,,,,
SOCIEDAD,COMERCIAL,Y,DE,,,
74676,77.499.099-2,SERVICIOS,INTEGRALES,EL,2025-07-24,
74677,77.539.273-8,ADD,INVERSIONES,SPA,2025-07-24,
74678,77.051.996-9,PB,COMERCIAL,SPA,2025-07-24,
74679,77.527.504-9,2025-07-24,,,,
CONSTRUCTORA,RACC,SPA,,,,
OLEA,PARDO,MUÑOZ,,,,
74680,76.504.909-1,MECANICA,Y,ELECTRICIDAD,2025-07-24,
74681,77.607.889-1,XAIOTEK,SPA,2025-07-24,,
74682,77.052.104-1,CONSTRUCCIONES,NTM,SPA,2025-07-24,
74683,77.528.071-9,COMARC,SPA,2025-07-24,,
HG,CLIMATE,AND,SOLUTION,,,
74684,78.070.561-2,2025-07-24,,,,
74685,77.755.014-4,2025-07-24,,,,
