Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10,Campo_11
Documento,generado,el,25,de,Julio,del,2025,a,las,02:00:08
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,,,
SERVICIO,DE,IMPRENTA,CV,,,,,,,
79001,77.811.878-5,2025-07-24,,,,,,,,
79002,76.733.418-4,AGC,SERVICIOS,SPA,2025-07-24,,,,,
COMERCIALIZADORA,P,Y,P,,,,,,,
79003,77.890.825-5,2025-07-24,,,,,,,,
79004,77.812.026-7,2025-07-24,,,,,,,,
79005,76.733.472-9,2025-07-24,,,,,,,,
79006,77.688.620-3,2025-07-24,,,,,,,,
79007,77.157.705-9,AMONTECH,SPA,2025-07-24,,,,,,
RENTA,E,INVERSIONES,,,,,,,,
79008,76.733.672-1,2025-07-24,,,,,,,,
BLACK,SHEEP,LIMITADA,,,,,,,,
LA,BOUTIQUE,PASTELERA,,,,,,,,
79009,77.688.923-7,2025-07-24,,,,,,,,
79010,77.157.980-9,2025-07-24,,,,,,,,
79011,77.729.367-2,Y,TERAPEUTICO,RICK,PUCHI,2025-07-24,,,,
