Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
50393,FELIPE,IGNACIO,PARRA,,,
Sociedad,Centro,Médico,e,,,
50394,76.499.419-1,Imagenológico,Ancud,2025-07-24,,
MINER,HUB,INSUMOS,,,,
50395,77.989.673-0,2025-07-24,,,,
50396,76.558.392-6,RODA,SpA,2025-07-24,,
servicios,integrales,de,,,,
50397,76.467.457-K,2025-07-24,,,,
ingenieria,y,tecnologia,,,,
50398,77.989.772-9,SERVICIOS,2025-07-24,,,
MAIN,SOLUTION,GROUP,,,,
50399,78.002.872-6,2025-07-24,,,,
50400,77.849.380-2,COMUNICACIONES,2025-07-24,,,
50401,77.990.375-3,ESTRUCTURAS,2025-07-24,,,
JONATHAN,ORTEGA,SPA,,,,
50402,76.539.104-0,2025-07-24,,,,
COMITE,DE,AGUA,,,,
50403,65.947.250-3,POTABLE,RURAL,DE,2025-07-24,
