Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,
68130,ANGUITA,CONSULTORES.,,,,,
68131,77.272.551-5,SURAUSTRAL,SPA,2025-07-24,,,
68132,76.780.802-K,SEROL,SPA,2025-07-24,,,
68133,77.482.117-1,LAURENTINA,SPA,2025-07-24,,,
SOC,MERINO,Y,ROA,,,,
68134,77.168.410-6,2025-07-24,,,,,
68135,77.272.667-8,COMERCIALIZADORA,2025-07-24,,,,
68136,76.780.942-5,2025-07-24,,,,,
68137,76.530.469-5,Dougnac,Ingeniería,E.I.R.L.,2025-07-24,,
68138,77.194.598-8,LOA,GRAPHIC,SPA,2025-07-24,,
68139,77.294.446-2,2025-07-24,,,,,
VIA,EXPRESS,SPA,,,,,
68140,76.531.077-6,2025-07-24,,,,,
68141,77.814.145-0,COMERCIAL,S,&,K,SPA,2025-07-24
