Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,
77.380.712-4,MADIMA,SPA,2025-07-24,,,,
SERVICIOS,DE,ING,,,,,
CONSULT,Y,DOC,JUAN,,,,
35792,76.419.750-K,2025-07-24,,,,,
35793,77.380.928-3,JUGLARES,SPA,2025-07-24,,,
35794,76.419.769-0,Fish,Vet,Group,SpA,2025-07-24,
35795,77.381.137-7,2025-07-24,,,,,
35796,76.420.086-1,2025-07-24,,,,,
35797,76.420.748-3,2025-07-24,,,,,
35798,77.381.699-9,DEGUAYA,SPA,2025-07-24,,,
35799,76.421.185-5,OTEC,ACHS,S.A.,2025-07-24,,
35800,77.381.805-3,TRANSPORTES,A,&,C,SPA,2025-07-24
35801,76.421.188-K,INGENIERIA,F,Y,P,2025-07-24,
