Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,
ASESORIAS,Y,EMPRESA,,,,,
77.432.801-7,CONSULTORA,ANDES,2025-07-24,,,,
93046,96.763.140-K,MICRODAT,S,A,2025-07-24,,
93047,77.437.085-4,PROVALU,SPA,2025-07-24,,,
THE,SYNERGY,GROUP,,,,,
93048,96.767.690-K,2025-07-24,,,,,
93049,77.433.374-6,GEOLÓGICAS,ANDES,2025-07-24,,,
93050,77.433.513-7,INVERSIONES,DG,SPA,2025-07-24,,
93051,96.770.100-9,CLÍNICA,ALEMANA,2025-07-24,,,
93052,77.434.196-K,LA,MALETA,SPA,2025-07-24,,
93053,96.942.340-5,2025-07-24,,,,,
ASOCIADOS,S,A,,,,,
93054,77.434.336-9,2025-07-24,,,,,
93055,77.437.271-7,INVERSIONES,A,&,M,SPA,2025-07-24
